stock_no,certificate_no,lab,Certificate,shape,size,color,clarity,cut,polish,symmetry,fluorescence,rap,discount,pr_ct,total_price,measurements,total_depth,table,link,key_to_symbols
G15200383,7318656208,GIA,View Cert,ROUND,0.5,F,SI2,EX,EX,EX,NON,2700,-27,1971,985.5,5.09*5.05*3.16,62.3,59,SEGOMA LINK,"Cloud, Crystal"
G15200666,2317798184,GIA,View Cert,ROUND,0.5,G,VS1,EX,EX,EX,NON,3800,-27,2774,1387,5.07*5.04*3.18,62.9,56,SEGOMA LINK,"Indented Natural, Pinpoint, Needle"
G15200580,2317755561,GIA,View Cert,ROUND,0.5,G,VS2,VG,VG,GD,FNT,3600,-37,2268,1134,5.04*4.99*3.1,61.8,59,SEGOMA LINK,"Crystal, Cloud, Feather"
G3200177,6315544160,GIA,View Cert,ROUND,0.5,G,VS2,EX,EX,EX,NON,3600,-27,2628,1314,5.09*5.05*3.16,62.4,59,SEGOMA LINK,"Crystal, Cloud"
G15200678,3315799006,GIA,View Cert,ROUND,0.5,G,SI1,VG,EX,VG,NON,3200,-32,2176,1088,4.96*4.9*3.18,64.5,57,SEGOMA LINK,"Crystal, Feather"
G15200524,7318738110,GIA,View Cert,ROUND,0.5,G,SI1,GD,VG,EX,NON,3200,-37,2016,1008,5.02*4.98*3.02,60.5,62,SEGOMA LINK,"Crystal, Cloud"
G15200515,1319718587,GIA,View Cert,ROUND,0.5,G,SI1,EX,EX,EX,NON,3200,-30,2240,1120,5.08*5.07*3.17,62.5,58,SEGOMA LINK,"Crystal, Cloud, Feather"
G15200514,1313718444,GIA,View Cert,ROUND,0.5,G,SI2,EX,EX,EX,NON,2600,-25,1950,975,5.11*5.07*3.15,61.9,59,SEGOMA LINK,Feather
G15200372,6315640473,GIA,View Cert,ROUND,0.5,G,SI2,EX,EX,EX,NON,2600,-27,1898,949,5.12*5.08*3.14,61.6,59,SEGOMA LINK,"Crystal, Feather, Cloud"
F106207215,2317235440,GIA,View Cert,ROUND,0.5,H,VS1,EX,VG,VG,NON,3500,-29,2485,1242.5,5.08*5.03*3.16,62.4,56,SEGOMA LINK,Feather
G15200551,2316743176,GIA,View Cert,ROUND,0.5,H,SI1,GD,EX,GD,NON,3100,-36,1984,992,5.11*5.08*3.07,60.2,56,SEGOMA LINK,Feather
G15200625,2316768045,GIA,View Cert,ROUND,0.5,H,SI2,VG,VG,VG,NON,2500,-28,1800,900,4.97*4.93*3.18,64.3,57,SEGOMA LINK,"Crystal, Feather"
G15200665,6312798994,GIA,View Cert,ROUND,0.5,H,SI2,VG,VG,EX,NON,2500,-29,1775,887.5,5.21*5.19*3.03,58.2,60,SEGOMA LINK,"Twinning Wisp, Feather"
G15200541,6311743047,GIA,View Cert,ROUND,0.5,H,SI2,VG,EX,VG,FNT,2500,-33,1675,837.5,5.04*4.96*3.19,63.8,61,SEGOMA LINK,"Crystal, Feather"
G15200615,6311768007,GIA,View Cert,ROUND,0.5,H,I1,EX,EX,EX,FNT,1800,-30,1260,630,5.13*5.09*3.12,61.1,58,SEGOMA LINK,Feather
G15200734,1318838193,GIA,View Cert,ROUND,0.5,I,VS2,VG,VG,VG,NON,2900,-33,1943,971.5,5.03*4.98*3.18,63.6,57,,"Cloud, Feather, Crystal, Needle"
F100205758,1305983426,GIA,View Cert,ROUND,0.5,I,SI1,VG,VG,VG,NON,2700,-35,1755,877.5,4.97*4.9*3.19,64.6,56,SEGOMA LINK,"Crystal, Feather"
G15200604,1319755547,GIA,View Cert,ROUND,0.5,I,SI1,VG,EX,VG,NON,2700,-30,1890,945,4.96*4.89*3.2,65,56,,"Feather, Crystal, Indented Natural"
F97205859,1317025332,GIA,View Cert,ROUND,0.5,I,SI1,VG,VG,VG,NON,2700,-33,1809,904.5,5*4.94*3.21,64.5,57,SEGOMA LINK,Cloud
G1200083,6312600580,GIA,View Cert,ROUND,0.5,I,SI2,EX,EX,EX,NON,2300,-27,1679,839.5,5.12*5.09*3.12,61.1,59,SEGOMA LINK,Crystal
G15200682,1318798168,GIA,View Cert,ROUND,0.5,J,VS1,GD,GD,VG,FNT,2600,-34,1716,858,4.88*4.83*3.22,66.4,56,,"Feather, Pinpoint"
G15200614,1319757696,GIA,View Cert,ROUND,0.5,J,VS2,GD,EX,VG,NON,2500,-33,1675,837.5,5*4.92*3.09,62.4,64,SEGOMA LINK,"Feather, Crystal"
G15200660,1318798275,GIA,View Cert,ROUND,0.5,J,SI1,EX,VG,VG,NON,2400,-25,1800,900,5.09*5.02*3.17,62.7,55,SEGOMA LINK,Feather
F106206641,7311169519,GIA,View Cert,ROUND,0.5,J,I1,GD,EX,VG,NON,1500,-38,930,465,5.07*5.04*3.03,59.9,62,SEGOMA LINK,Feather
G15200608,1313768019,GIA,View Cert,ROUND,0.5,K,SI1,VG,VG,VG,FNT,2000,-32,1360,680,5*4.93*3.2,64.5,59,SEGOMA LINK,"Crystal, Feather"
F53A227027,2286922766,GIA,View Cert,ROUND,0.5,K,SI2,F,EX,VG,FNT,1900,-44,1064,532,4.86*4.82*3.32,68.7,62,SEGOMA LINK,CRYSTAL
G13200539,1318737551,GIA,View Cert,ROUND,0.5,D,VVS1,VG,EX,VG,NON,5500,-42,3190,1595,4.99*4.93*3.17,64,60,SEGOMA LINK,Feather
G15200564,2316737776,GIA,View Cert,ROUND,0.5,D,VVS2,EX,EX,EX,STG,5000,-46,2700,1350,5.16*5.14*3.08,59.8,60,SEGOMA LINK,Feather
G15200555,1319738395,GIA,View Cert,ROUND,0.5,D,VS1,EX,EX,EX,NON,4500,-34,2970,1485,5.08*5.05*3.18,62.7,59,SEGOMA LINK,"Feather, Needle, Pinpoint"
G15200617,5316757702,GIA,View Cert,ROUND,0.5,D,VS1,EX,EX,EX,NON,4500,-27,3285,1642.5,5.06*5.02*3.18,63,56,SEGOMA LINK,"Feather, Pinpoint"
G15200453,2317684611,GIA,View Cert,ROUND,0.5,D,VS1,VG,EX,VG,NON,4500,-40,2700,1350,4.96*4.9*3.19,64.7,56,SEGOMA LINK,"Crystal, Cloud, Indented Natural, Cavity"
G15200500,1315718568,GIA,View Cert,ROUND,0.5,D,VS1,F,VG,VG,NON,4500,-53,2115,1057.5,4.78*4.72*3.37,70.9,56,,Indented Natural
F79A200713,7292782257,GIA,View Cert,ROUND,0.5,D,VS1,F,VG,GD,NON,4500,-58,1890,945,4.81*4.76*3.21,67.1,55,,"Indented Natural, Pinpoint"
F106207214,6315235730,GIA,View Cert,ROUND,0.5,D,VS1,EX,EX,EX,NON,4500,-28,3240,1620,5.06*5.03*3.18,62.9,55,SEGOMA LINK,Feather
F106207220,6312235026,GIA,View Cert,ROUND,0.5,D,VS1,F,VG,VG,NON,4500,-56,1980,990,4.85*4.8*3.26,67.5,55,,"Crystal, Indented Natural"
F100205776,6301981763,GIA,View Cert,ROUND,0.5,D,VS1,VG,EX,GD,MED,4500,-52,2160,1080,4.96*4.9*3.21,65.1,57,,"Feather, Indented Natural, Needle, Pinpoint"
F100205409,3305938603,GIA,View Cert,ROUND,0.5,D,VS1,F,EX,VG,FNT,4500,-59,1845,922.5,4.81*4.75*3.35,70.2,55,,"Crystal, Pinpoint, Indented Natural"
F102C205901,7313025482,GIA,View Cert,ROUND,0.5,D,VS1,F,EX,GD,STG,4500,-62,1710,855,4.79*4.71*3.38,71.1,56,,"Indented Natural, Cloud"
F102C206243,3315092405,GIA,View Cert,ROUND,0.5,D,VS1,VG,EX,VG,NON,4500,-45,2475,1237.5,4.97*4.93*3.17,64,58,SEGOMA LINK,"Indented Natural, Pinpoint, Cloud"
F102C206187,2317088680,GIA,View Cert,ROUND,0.5,D,VS2,F,VG,GD,NON,4200,-53,1974,987,4.77*4.72*3.3,69.6,55,,"Indented Natural, Crystal"
F100205572,7308942802,GIA,View Cert,ROUND,0.5,D,VS2,F,EX,GD,NON,4200,-53,1974,987,4.8*4.7*3.36,70.8,61,,"Feather, Crystal, Indented Natural"
F111207312,2316418757,GIA,View Cert,ROUND,0.5,D,VS2,F,VG,VG,NON,4200,-53,1974,987,4.79*4.74*3.37,70.8,56,,"Crystal, Cloud, Indented Natural"
F105206725,2318200168,GIA,View Cert,ROUND,0.5,D,VS2,EX,EX,EX,NON,4200,-35,2730,1365,5.07*5.04*3.18,62.9,56,SEGOMA LINK,"Cloud, Feather, Crystal"
G15200632,6315768033,GIA,View Cert,ROUND,0.5,D,VS2,EX,VG,VG,NON,4200,-36,2688,1344,5.09*5.02*3.13,61.8,59,SEGOMA LINK,"Crystal, Indented Natural, Feather"
G1200224,7311558019,GIA,View Cert,ROUND,0.5,D,VS2,VG,VG,VG,STG,4200,-48,2184,1092,4.98*4.93*3.18,64.3,58,SEGOMA LINK,"Crystal, Feather, Cavity"
F98A205314,6305882576,GIA,View Cert,ROUND,0.5,D,SI1,VG,EX,EX,NON,3700,-34,2442,1221,5*4.97*3.17,63.5,60,SEGOMA LINK,Feather
G15200504,6311718545,GIA,View Cert,ROUND,0.5,D,SI1,GD,EX,VG,NON,3700,-42,2146,1073,5*4.95*3.06,61.4,63,SEGOMA LINK,Twinning Wisp
G15200482,7318702290,GIA,View Cert,ROUND,0.5,D,SI1,VG,EX,VG,NON,3700,-37,2331,1165.5,4.99*4.94*3.2,64.3,58,SEGOMA LINK,"Feather, Cloud"
F105206724,6311202056,GIA,View Cert,ROUND,0.5,D,SI1,EX,EX,EX,NON,3700,-32,2516,1258,5.07*5.04*3.19,63.2,56,SEGOMA LINK,"Crystal, Feather"
F105206634,7316179004,GIA,View Cert,ROUND,0.5,D,SI1,VG,EX,VG,NON,3700,-36,2368,1184,5.02*4.94*3.22,64.6,58,SEGOMA LINK,"Crystal, Feather"
F105206468,7311122929,GIA,View Cert,ROUND,0.5,D,SI1,EX,EX,EX,NON,3700,-29,2627,1313.5,5.09*5.07*3.17,62.3,58,SEGOMA LINK,Feather
F105206960,2317216624,GIA,View Cert,ROUND,0.5,D,SI1,VG,EX,VG,NON,3700,-34,2442,1221,5.02*4.95*3.18,63.8,62,SEGOMA LINK,Feather
F105206822,1313199880,GIA,View Cert,ROUND,0.5,D,SI1,EX,EX,VG,NON,3700,-32,2516,1258,5.1*5.07*3.14,61.8,60,SEGOMA LINK,Feather
F105206826,7318202041,GIA,View Cert,ROUND,0.5,D,SI1,VG,VG,VG,NON,3700,-35,2405,1202.5,5*4.94*3.19,64.2,57,SEGOMA LINK,"Cloud, Feather"
F111207366,6311426727,GIA,View Cert,ROUND,0.5,D,SI1,VG,GD,VG,NON,3700,-39,2257,1128.5,5.02*4.97*3.18,63.6,60,SEGOMA LINK,"Cloud, Feather"
F106207157,1313235456,GIA,View Cert,ROUND,0.5,D,SI1,GD,VG,GD,FNT,3700,-48,1924,962,4.92*4.82*3.26,66.8,56,,Crystal
F102C206296,6312074227,GIA,View Cert,ROUND,0.5,D,SI1,GD,EX,VG,VST,3700,-54,1702,851,4.91*4.86*3.12,64,58,SEGOMA LINK,Feather
F102C206193,6315088089,GIA,View Cert,ROUND,0.5,D,SI2,EX,EX,EX,NON,3000,-31,2070,1035,5.08*5.05*3.16,62.3,57,SEGOMA LINK,Cloud
F106207061,6315219571,GIA,View Cert,ROUND,0.5,D,SI2,GD,VG,GD,NON,3000,-44,1680,840,4.94*4.9*3.15,64,60,SEGOMA LINK,"Feather, Indented Natural"
F69229361,2294185908,GIA,View Cert,ROUND,0.5,D,SI2,GD,GD,VG,NON,3000,-45,1650,825,5.21*5.19*3,57.6,63,SEGOMA LINK,"Twinning Wisp, Feather"
G15200425,6311694411,GIA,View Cert,ROUND,0.5,D,SI2,EX,EX,EX,NON,3000,-29,2130,1065,5.07*5.04*3.17,62.8,56,SEGOMA LINK,Feather
F106206964,6311194560,GIA,View Cert,ROUND,0.5,D,I1,GD,VG,VG,STG,2200,-41,1298,649,4.94*4.91*3.14,63.8,56,SEGOMA LINK,"Twinning Wisp, Feather"
F102C206384,2316132241,GIA,View Cert,ROUND,0.5,D,I1,EX,EX,VG,MED,2200,-39,1342,671,5.07*5.01*3.17,63,56,SEGOMA LINK,"Cloud, Crystal"
F74B230843,7291508810,GIA,View Cert,ROUND,0.5,E,FL,EX,EX,EX,FNT,5300,-42,3074,1537,5.09*5.05*3.16,62.3,59,,
F84202287,1308133387,GIA,View Cert,ROUND,0.5,E,VVS1,F,VG,VG,NON,4900,-58,2058,1029,4.89*4.83*3.14,64.6,56,SEGOMA LINK,"Feather, Manufacturing Remnant, Natural"
F102C205976,2316037416,GIA,View Cert,ROUND,0.5,E,VVS1,EX,EX,EX,NON,4900,-28,3528,1764,5.08*5.05*3.15,62.2,57,SEGOMA LINK,"Pinpoint, Indented Natural"
F111207313,6312418762,GIA,View Cert,ROUND,0.5,E,VVS2,F,VG,GD,NON,4600,-54,2116,1058,4.89*4.84*3.28,67.5,54,,"Feather, Pinpoint, Natural"
F84202817,6305205268,GIA,View Cert,ROUND,0.5,E,VVS2,F,EX,VG,NON,4600,-56,2024,1012,4.79*4.74*3.38,70.8,56,,"Pinpoint, Manufacturing Remnant, Indented Natural"
G15200562,2317737560,GIA,View Cert,ROUND,0.5,E,VVS2,EX,VG,VG,NON,4600,-35,2990,1495,5.06*5*3.18,63.2,56,SEGOMA LINK,"Feather, Indented Natural, Pinpoint"
G15200444,7311684633,GIA,View Cert,ROUND,0.5,E,VS1,VG,EX,GD,NON,4200,-39,2562,1281,5*4.93*3.21,64.6,59,,"Indented Natural, Needle"
F97204565,6305707693,GIA,View Cert,ROUND,0.5,E,VS1,F,VG,VG,NON,4200,-52,2016,1008,4.76*4.71*3.36,70.9,61,,"Crystal, Cloud, Needle, Pinpoint"
F106207029,7312216551,GIA,View Cert,ROUND,0.5,E,VS1,F,EX,VG,NON,4200,-52,2016,1008,4.8*4.74*3.36,70.4,57,,"Crystal, Indented Natural, Feather, Cloud"
F106207065,7311215257,GIA,View Cert,ROUND,0.5,E,VS2,F,VG,VG,NON,4000,-52,1920,960,4.83*4.78*3.25,67.7,57,,"Feather, Crystal"
F106206808,6311201292,GIA,View Cert,ROUND,0.5,E,VS2,F,EX,VG,NON,4000,-52,1920,960,4.75*4.71*3.38,71.4,54,,Feather
F106206809,7316201276,GIA,View Cert,ROUND,0.5,E,VS2,F,VG,GD,NON,4000,-52,1920,960,4.77*4.67*3.37,71.4,56,,Feather
F105206494,6315131816,GIA,View Cert,ROUND,0.5,E,VS2,F,VG,GD,NON,4000,-52,1920,960,4.86*4.8*3.2,66.3,56,,"Crystal, Cloud"
F84203234,6302279609,GIA,View Cert,ROUND,0.5,E,VS2,F,EX,VG,NON,4000,-54,1840,920,4.82*4.75*3.38,70.6,56,,"Cloud, Crystal, Feather"
F79A200741,6291812932,GIA,View Cert,ROUND,0.5,E,VS2,F,EX,VG,NON,4000,-54,1840,920,4.83*4.76*3.35,69.8,56,,"Crystal, Cloud, Feather"
F97204352,2308607040,GIA,View Cert,ROUND,0.5,E,VS2,F,EX,VG,NON,4000,-52,1920,960,4.79*4.73*3.38,70.9,57,,"Cloud, Crystal"
G15200480,6312703095,GIA,View Cert,ROUND,0.5,E,VS2,VG,EX,VG,NON,4000,-38,2480,1240,4.99*4.92*3.21,64.9,59,SEGOMA LINK,"Crystal, Cloud"
G15200522,6311737934,GIA,View Cert,ROUND,0.5,E,SI1,VG,EX,VG,NON,3500,-38,2170,1085,5*4.93*3.21,64.7,56,SEGOMA LINK,"Crystal, Feather"
G15200645,2316783806,GIA,View Cert,ROUND,0.5,E,SI1,VG,VG,VG,NON,3500,-35,2275,1137.5,5.04*5.01*3.16,62.9,56,SEGOMA LINK,Knot
G13200540,7318737557,GIA,View Cert,ROUND,0.5,E,SI1,GD,EX,GD,NON,3500,-41,2065,1032.5,4.96*4.87*3.18,64.7,62,SEGOMA LINK,"Feather, Crystal, Cloud, Indented Natural"
F41A225879,6281756723,GIA,View Cert,ROUND,0.5,E,SI1,VG,VG,GD,FNT,3500,-46,1890,945,4.97*4.92*3.21,64.9,56,SEGOMA LINK,FEATHER
F88B203310,7306308815,GIA,View Cert,ROUND,0.5,E,SI1,EX,EX,EX,MED,3500,-44,1960,980,5.07*5.03*3.19,63.2,57,SEGOMA LINK,"Cloud, Crystal"
F106206901,2317194509,GIA,View Cert,ROUND,0.5,E,SI1,EX,EX,VG,NON,3500,-35,2275,1137.5,5.1*5.03*3.16,62.4,57,SEGOMA LINK,Feather
F105206839,7316199997,GIA,View Cert,ROUND,0.5,E,SI1,EX,EX,EX,NON,3500,-29,2485,1242.5,5.09*5.06*3.14,61.9,58,SEGOMA LINK,Feather
F105206925,7318194700,GIA,View Cert,ROUND,0.5,E,SI1,VG,VG,GD,NON,3500,-38,2170,1085,5.05*5.01*3.11,61.8,64,SEGOMA LINK,"Crystal, Feather"
F102C206026,1318037306,GIA,View Cert,ROUND,0.5,E,SI1,GD,EX,GD,NON,3500,-44,1960,980,4.96*4.87*3.18,64.7,56,SEGOMA LINK,"Feather, Cloud"
F102C206479,6315132006,GIA,View Cert,ROUND,0.5,E,SI1,VG,EX,EX,NON,3500,-35,2275,1137.5,5.05*5.01*3.19,63.4,53,SEGOMA LINK,"Cloud, Feather, Crystal"
F102C206295,7318074430,GIA,View Cert,ROUND,0.5,E,SI1,VG,VG,VG,NON,3500,-39,2135,1067.5,4.96*4.89*3.18,64.5,58,SEGOMA LINK,Cloud
F102C206290,2318091760,GIA,View Cert,ROUND,0.5,E,SI1,GD,EX,GD,NON,3500,-44,1960,980,5.01*4.89*3.14,63.5,63,SEGOMA LINK,Feather
F102C206232,7316074485,GIA,View Cert,ROUND,0.5,E,SI1,GD,GD,GD,NON,3500,-44,1960,980,4.93*4.88*3.22,65.7,54,,Feather
F106206756,6311202076,GIA,View Cert,ROUND,0.5,E,SI2,VG,VG,GD,NON,2800,-35,1820,910,4.99*4.89*3.18,64.4,57,SEGOMA LINK,Feather
F105206456,6311132211,GIA,View Cert,ROUND,0.5,E,SI2,VG,GD,VG,NON,2800,-35,1820,910,5.14*5.08*3.07,60.1,64,SEGOMA LINK,Feather
G15200416,1317693332,GIA,View Cert,ROUND,0.5,E,SI2,EX,EX,VG,FNT,2800,-36,1792,896,5.06*5*3.17,63,60,SEGOMA LINK,"Feather, Crystal, Cloud"
G15200543,1315737698,GIA,View Cert,ROUND,0.5,E,SI2,VG,EX,VG,NON,2800,-35,1820,910,5.09*5.04*3.06,60.4,61,SEGOMA LINK,Feather
F102C206335,2316091689,GIA,View Cert,ROUND,0.5,F,VVS1,VG,VG,GD,NON,4500,-45,2475,1237.5,5*4.91*3.2,64.5,59,SEGOMA LINK,"Pinpoint, Feather"
G13200332,1319612146,GIA,View Cert,ROUND,0.5,F,VVS2,GD,VG,VG,NON,4300,-43,2451,1225.5,4.88*4.81*3.21,66.3,56,SEGOMA LINK,"Feather, Pinpoint, Cloud"
G3200110,6312524934,GIA,View Cert,ROUND,0.5,F,VVS2,EX,EX,EX,NON,4300,-32,2924,1462,5.12*5.08*3.13,61.4,60,SEGOMA LINK,"Feather, Pinpoint"
G15200483,1315702384,GIA,View Cert,ROUND,0.5,F,VS1,GD,EX,GD,FNT,4000,-46,2160,1080,4.93*4.84*3.19,65.3,55,,"Cloud, Pinpoint"
F105206343,6312092387,GIA,View Cert,ROUND,0.5,F,VS1,EX,EX,EX,NON,4000,-28,2880,1440,5.13*5.11*3.13,61.2,60,SEGOMA LINK,Feather
F79B200714,5293783571,GIA,View Cert,ROUND,0.5,F,VS1,F,VG,GD,FNT,4000,-56,1760,880,4.8*4.75*3.28,68.6,56,,Indented Natural
F84202566,5303171691,GIA,View Cert,ROUND,0.5,F,VS2,F,EX,VG,NON,3800,-53,1786,893,4.79*4.74*3.36,70.6,56,,Feather
F105206312,5316074479,GIA,View Cert,ROUND,0.5,F,VS2,EX,EX,EX,NON,3800,-29,2698,1349,5.06*5.03*3.2,63.5,56,SEGOMA LINK,Feather
F102B205967,1319037241,GIA,View Cert,ROUND,0.5,F,VS2,VG,VG,VG,FNT,3800,-41,2242,1121,5.01*4.93*3.19,64.2,59,SEGOMA LINK,Cloud
F106207103,6311247984,GIA,View Cert,ROUND,0.5,F,VS2,EX,EX,VG,NON,3800,-34,2508,1254,5.07*5.02*3.17,62.8,57,SEGOMA LINK,"Crystal, Feather, Cloud"
F106207173,5313235077,GIA,View Cert,ROUND,0.5,F,VS2,F,EX,VG,NON,3800,-52,1824,912,4.81*4.75*3.32,69.6,56,,Feather
F106207224,2318235047,GIA,View Cert,ROUND,0.5,F,VS2,F,EX,VG,NON,3800,-52,1824,912,4.76*4.69*3.37,71.3,55,,"Cloud, Indented Natural"
G15200642,1315783824,GIA,View Cert,ROUND,0.5,F,VS2,VG,EX,VG,NON,3800,-34,2508,1254,5.02*4.97*3.18,63.7,57,SEGOMA LINK,Cloud
G15200423,2316693484,GIA,View Cert,ROUND,0.5,F,VS2,VG,EX,VG,NON,3800,-37,2394,1197,5*4.95*3.17,63.8,59,SEGOMA LINK,"Feather, Needle, Cloud"
F99205748,2307982733,GIA,View Cert,ROUND,0.5,F,SI1,GD,VG,GD,NON,3300,-40,1980,990,5.05*5.03*3.12,61.9,54,SEGOMA LINK,"Cloud, Feather, Indented Natural"
F96204022,6302470324,GIA,View Cert,ROUND,0.5,F,SI1,VG,VG,GD,NON,3300,-38,2046,1023,5.05*5*3.12,62,65,SEGOMA LINK,Feather
G15200553,2314737480,GIA,View Cert,ROUND,0.5,F,SI1,EX,EX,EX,NON,3300,-25,2475,1237.5,5.16*5.15*3.12,60.5,56,SEGOMA LINK,Cloud
G15200558,6312737920,GIA,View Cert,ROUND,0.5,F,SI1,VG,EX,GD,NON,3300,-38,2046,1023,4.99*4.92*3.2,64.5,60,SEGOMA LINK,"Feather, Crystal"
G15200474,2317702591,GIA,View Cert,ROUND,0.5,F,SI1,EX,EX,EX,FNT,3300,-36,2112,1056,5.08*5.04*3.14,62,61,SEGOMA LINK,Feather
F106207163,6315235429,GIA,View Cert,ROUND,0.5,F,SI1,GD,EX,EX,NON,3300,-42,1914,957,4.91*4.87*3.2,65.4,55,,Feather
F106207138,7318231588,GIA,View Cert,ROUND,0.5,F,SI1,GD,EX,VG,NON,3300,-39,2013,1006.5,4.9*4.85*3.21,65.8,59,,Feather
F106207074,2316216630,GIA,View Cert,ROUND,0.5,F,SI1,GD,VG,GD,FNT,3300,-40,1980,990,4.88*4.82*3.2,65.9,56,,"Cloud, Feather, Indented Natural"
F105206684,3315180686,GIA,View Cert,ROUND,0.5,F,SI1,GD,VG,VG,MED,3300,-42,1914,957,4.91*4.85*3.17,64.8,60,SEGOMA LINK,"Feather, Cloud, Crystal"
F106206938,2318194741,GIA,View Cert,ROUND,0.5,F,SI1,F,VG,GD,NON,3300,-46,1782,891,4.81*4.72*3.28,68.7,55,,"Crystal, Feather"
F94A204999,7301785334,GIA,View Cert,ROUND,0.5,F,SI1,EX,EX,EX,FNT,3300,-36,2112,1056,5.15*5.12*3.09,60.1,60,SEGOMA LINK,Cavity
G3200202,7318549253,GIA,View Cert,ROUND,0.5,F,SI1,GD,EX,GD,NON,3300,-42,1914,957,4.94*4.92*3.12,63.3,57,SEGOMA LINK,Feather
F84202902,5306216838,GIA,View Cert,ROUND,0.5,F,SI2,EX,EX,VG,NON,2700,-43,1539,769.5,5.06*5.02*3.16,62.8,55,SEGOMA LINK,"Crystal, Feather"
G15200471,2316703122,GIA,View Cert,ROUND,0.5,F,SI2,VG,EX,VG,NON,2700,-33,1809,904.5,5.08*5.04*3.14,62.2,59,SEGOMA LINK,"Cloud, Crystal, Feather"
G13200387,3315656182,GIA,View Cert,ROUND,0.5,F,SI2,EX,EX,EX,NON,2700,-29,1917,958.5,5.05*5.02*3.17,62.9,55,SEGOMA LINK,Crystal
F105206689,1318178965,GIA,View Cert,ROUND,0.5,G,VVS1,VG,EX,GD,NON,4000,-40,2400,1200,4.99*4.9*3.16,63.8,60,SEGOMA LINK,"Indented Natural, Feather"
F100205410,5303936451,GIA,View Cert,ROUND,0.5,G,VVS1,VG,VG,GD,NON,4000,-40,2400,1200,5.01*4.96*3.21,64.4,53,SEGOMA LINK,"Pinpoint, Feather, Indented Natural, Manufacturing Remnant"
G15200592,6311768002,GIA,View Cert,ROUND,0.5,G,VVS2,EX,EX,EX,NON,3900,-29,2769,1384.5,5.09*5.06*3.14,61.8,57,SEGOMA LINK,"Cloud, Needle, Pinpoint"
G15200530,2316737607,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,GD,NON,3800,-45,2090,1045,4.85*4.75*3.16,65.9,64,,"Feather, Pinpoint, Indented Natural"
F97205128,2307802299,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,VG,NON,3800,-49,1938,969,4.77*4.71*3.36,70.9,55,,"Indented Natural, Pinpoint, Cloud"
F100205583,6302945918,GIA,View Cert,ROUND,0.5,G,VS1,F,EX,GD,MED,3800,-52,1824,912,4.78*4.67*3.38,71.5,56,,"Crystal, Feather, Indented Natural, Pinpoint"
F102B206063,6311053199,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,GD,NON,3800,-49,1938,969,4.8*4.72*3.34,70.3,58,,Feather
F102C206070,6311047996,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,GD,NON,3800,-49,1938,969,4.81*4.72*3.36,70.5,55,,"Indented Natural, Feather, Cloud, Pinpoint"
F102C206159,2316088471,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,VG,FNT,3800,-51,1862,931,4.8*4.75*3.36,70.4,54,,"Crystal, Indented Natural"
F106206699,5316169524,GIA,View Cert,ROUND,0.5,G,VS1,F,EX,GD,NON,3800,-49,1938,969,4.8*4.7*3.35,70.6,57,,"Indented Natural, Internal Graining, Pinpoint"
F83201931,2307075653,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,VG,NON,3800,-51,1862,931,4.83*4.78*3.36,69.9,56,,"Cloud, Crystal, Feather, Pinpoint"
F79A200467,2294691086,GIA,View Cert,ROUND,0.5,G,VS1,F,VG,GD,FNT,3800,-54,1748,874,4.84*4.76*3.27,68.1,63,,"Crystal, Indented Natural, Pinpoint"
F84202796,1303205352,GIA,View Cert,ROUND,0.5,G,VS2,F,EX,VG,NON,3600,-51,1764,882,4.77*4.71*3.36,70.9,58,,Crystal
F94B204896,2307782702,GIA,View Cert,ROUND,0.5,G,VS2,VG,VG,VG,NON,3600,-37,2268,1134,5.21*5.18*3.01,58,61,SEGOMA LINK,Feather
F93203618,5303347525,GIA,View Cert,ROUND,0.5,G,VS2,F,VG,GD,NON,3600,-50,1800,900,4.81*4.72*3.37,70.7,55,,Feather
F106206798,6312200148,GIA,View Cert,ROUND,0.5,G,VS2,F,VG,GD,FNT,3600,-49,1836,918,4.81*4.71*3.31,69.6,56,,Feather
F105206493,7316131823,GIA,View Cert,ROUND,0.5,G,VS2,F,EX,VG,FNT,3600,-49,1836,918,4.77*4.71*3.37,71,56,,Feather
F106207091,6315235694,GIA,View Cert,ROUND,0.5,G,VS2,GD,EX,GD,FNT,3600,-43,2052,1026,4.95*4.88*3.12,63.6,59,SEGOMA LINK,Feather
F106207226,6315235655,GIA,View Cert,ROUND,0.5,G,VS2,VG,VG,VG,NON,3600,-35,2340,1170,5.01*4.95*3.19,64.1,60,SEGOMA LINK,"Crystal, Needle"
F102C206089,2316053208,GIA,View Cert,ROUND,0.5,G,VS2,F,EX,VG,NON,3600,-47,1908,954,4.79*4.74*3.27,68.5,56,,Feather
F102C205948,5313037411,GIA,View Cert,ROUND,0.5,G,VS2,F,VG,GD,NON,3600,-47,1908,954,4.9*4.76*3.18,65.8,55,,"Feather, Etch Channel, Indented Natural"
F102A206002,7316037296,GIA,View Cert,ROUND,0.5,G,VS2,EX,VG,EX,NON,3600,-32,2448,1224,5.22*5.19*3.05,58.6,61,SEGOMA LINK,Feather
